sci_name,REVISED_ALTERNATE_COM_NAME
Butorides virescens virescens/bahamensis,North American Green Heron (virescens/bahamensis)
Butorides virescens anthonyi,North American Green Heron (anthonyi)
Butorides virescens frazari,North American Green Heron (frazari)
Butorides striata x virescens,South American Striated x North American Green Heron (hybrid)
Butorides striata/virescens,South American Striated/South American Striated Heron
Ardea intermedia,Medium Egret (Intermediate Egret)
Ardea sp.,Ardea heron sp.
Pelecanus onocrotalus,Great White Pelican (Rosy Pelican)
Cathartes sp.,Cathartes vulture sp.
Elanus caeruleus,Black-winged Kite (Black-shouldered Kite)
Elanus axillaris,Australian Black-shouldered Kite
Gypaetus barbatus,Bearded Vulture (Lammergeier)
Pernis ptilorhynchus,Oriental Honey-buzzard (Crested Honey Buzzard)
Gyps himalayensis,Himalayan Griffon (Himalayan Vulture)
Gyps indicus,Indian Vulture (Indian Long-billed Vulture)
Gyps tenuirostris,Slender-billed Vulture (Himalayan Long-billed Vulture)
Gyps fulvus,Eurasian Griffon (Griffon Vulture)
Gyps sp.,Gyps vulture sp.
Spilornis cheela minimus,Central Nicobar Serpent Eagle
Nisaetus sp.,Nisaetus hawk-eagle sp.
Spizaetus sp.,Spizaetus hawk-eagle sp.
Aquila sp.,Aquila eagle sp.
Astur gentilis,Eurasian Goshawk (Northern Goshawk)
Haliaeetus/Icthyophaga sp.,Haliaeetus/Icthyophaga eagle sp.
Buteogallus sp.,Buteogallus hawk sp.
Geranoaetus sp.,Geranoaetus hawk sp.
Buteo sp.,Buteo hawk/buzzard sp.
Tyto alba,European Barn Owl
Tyto alba [alba Group],European Barn Owl (European)
Tyto alba schmitzi,European Barn Owl (Madeiran)
Tyto alba gracilirostris,European Barn Owl (Canary Is.)
Tyto alba poensis,European Barn Owl (African)
Tyto alba detorta,European Barn Owl (Cape Verde)
Tyto alba thomensis,European Barn Owl (Sao Tome)
Tyto javanica,Asian Barn Owl (Eastern Barn Owl)
Tyto javanica [javanica Group],Asian Barn Owl (Asian)
Tyto javanica crassirostris,Asian Barn Owl (Boang)
Tyto alba/javanica,European/Asian Barn Owl (Eastern Barn Owl)
Otus bakkamoena,Indian Scops-Owl (Collared Scops-Owl)
Pulsatrix sp.,Pulsatrix owl sp.
Bubo bengalensis,Rock Eagle-Owl (Indian Eagle-Owl)
Bubo sp.,Bubo owl sp.
Glaucidium sp.,Glaucidium owlet sp.
Strix sp. (former Ciccaba sp.),Ciccaba owl sp.
Asio sp.,Asio owl sp.
Ninox affinis,Andaman Hawk-Owl (Andaman Boobook)
Ninox scutulata,Brown Hawk-Owl (Brown Boobook)
Ninox obscura,Hume's Hawk-Owl (Hume's Boobook)
Ninox sp.,hawk-owl sp.
Lophoceros sp.,Lophoceros hornbill sp.
Tockus sp.,Tockus hornbill sp.
Buceros bicornis,Great Hornbill (Great Pied Hornbill)
Alcedo atthis,Common Kingfisher (Small Blue Kingfisher)
Alcedo coerulescens,Cerulean Kingfisher
Ceyx erithaca,Black-backed Dwarf-Kingfisher (Oriental Dwarf Kingfisher)
Todiramphus sp.,Todiramphus old world kingfisher sp.
Chloroceryle sp.,Chloroceryle new world kingfisher sp.
Coracias affinis,Indochinese Roller (Black-billed Roller)
Monasa sp.,Monasa nunbird sp.
Bucconidae sp.,Bucconidae sp.
Galbula sp.,Galbula jacamar sp.
Psilopogon sp.,Psilopogon asian barbet sp.
Capito sp.,Capito new world barbet sp.
Aulacorhynchus sp.,Aulacorhynchus toucanet sp.
Melanerpes sp.,Melanerpes woodpecker sp.
Yungipicus nanus,Brown-capped Pygmy Woodpecker (Indian Pygmy Woodpecker)
Yungipicus moluccensis,Sunda Pygmy Woodpecker
Dendrocopos analis,Freckle-breasted Woodpecker (Spot-breasted Woodpecker)
Dendrocopos sp.,Dendrocopus woodpecker sp.
Dryobates cathpharius,Crimson-naped Woodpecker (Crimson-breasted Woodpecker)
Campephilus sp.,Campephilus woodpecker sp.
Dinopium benghalense,Black-rumped Flameback (Lesser Goldenbacked Woodpecker)
Picus sp.,Picus woodpecker sp.
Dryocopus javensis,White-bellied Woodpecker (Great Black Woodpecker)
Dryocopus sp.,Dryocopus woodpecker sp.
Celeus sp.,Celeus woodpecker sp.
Piculus sp.,Piculus woodpecker sp.
Colaptes punctigula,Spot-breasted Flicker
Falco tinnunculus,Eurasian Kestrel (Common Kestrel)
Psittacula columboides,Malabar Parakeet (Blue-winged Parakeet)
Psittacula sp.,Psittacula parakeet sp.
Neophema sp.,Neophema parrot sp.
Cyanoramphus sp.,Cyanoramphus parakeet sp.
Loriculus vernalis,Vernal Hanging-Parrot (Indian Lorikeet)
Poicephalus sp.,Poicephalus parrot sp.
Touit sp.,Touit parrotlet sp.
Brotogeris sp.,Brotogeris parakeet sp.
Pyrilia sp.,Pyrilia parrot sp.
Pionus sp.,Pionus parrot sp.
Amazona sp.,Amazona parrot sp.
Forpus sp.,Forpus parrotlet sp.
Pyrrhura sp.,Pyrrhura parakeet sp.
Psittacara sp.,Psittacara parakeet sp.
Smithornis sp.,Smithornis broadbill sp.
Serilophus rubropygius,Grey-lored Broadbill (Silver-breasted Broadbill)
Erythropitta sp.,Erythropitta pitta sp.
Hydrornis sp.,Hydrornis pitta sp.
Pitta sp.,Pitta sp. (genus Pitta)
Pittidae sp.,pitta sp. (genus Erythropitta/Hydrornis/Pitta)
Euchrepomis sp.,Euchrepomis antwren sp.
Thamnophilus sp.,Thamnophilus antshrike sp.
Myrmotherula sp.,Myrmotherula antwren sp.
Herpsilochmus sp.,Herpsilochmus antwren sp.
Drymophila sp.,Drymophila antbird sp.
Cercomacroides sp.,Cercomacroides antbird sp.
Myrmelastes sp.,Myrmelastes antbird sp.
Grallaria sp.,Grallaria antpitta sp.
Scytalopus sp.,Scytalopus tapaculo sp.
Formicarius sp.,Formicarius antthrush sp.
Chamaeza sp.,Chamaeza antthrush sp.
Dendrocincla sp.,Dendrocincla woodcreeper sp.
Dendrocolaptes sp.,Dendrocolaptes woodcreeper sp.
Xiphorhynchus sp.,Xiphorhynchus woodcreeper sp.
Lepidocolaptes sp.,Lepidocolaptes woodcreeper sp.
Upucerthia sp.,Upucerthia earthcreeper sp.
Cinclodes sp.,cinclodes sp.
Philydor sp.,Philydor foliage-gleaner sp.
Anabacerthia sp.,Anabacerthia folieage-gleaner sp.
