sci_name,REVISED_ALTERNATE_COM_NAME
Emberiza sp.,Emberiza bunting sp.
Chlorospingus sp.,chlorospingus sp.
Peucaea sp.,Peucaea sparrow sp.
Spizella sp.,Spizella sparrow sp.
Zonotrichia sp.,Zonotrichia sparrow sp.
Ammospiza sp.,Ammospiza sparrow sp.
Leiothlypis sp.,Leiothlypis warbler sp.
Setophaga sp.,Setophaga warbler sp.
Basileuterus sp.,Basileuterus warbler sp.
Myiothlypis sp.,Myiothlypis warbler sp.
Myioborus sp.,Myioborus warbler sp.
Parulidae sp.,new world warbler sp. (Parulidae sp.)
Chlorothraupis sp.,Chlorothraupis tanager sp.
Pheucticus sp.,Pheucticus grosbeak sp.
Passerina sp.,Passerina bunting sp.
Thlypopsis sp.,Thlypopsis tanager sp.
Tachyphonus sp.,Tachyphonus tanager sp.
Ramphocelus sp.,Ramphocelus tanager sp.
Thraupis sp.,Thraupis tanager sp.
Ixothraupis sp.,Ixothraupis tanager sp. (speckled tanager sp.)
Tangara/Stilpnia sp.,Tangara/Stilpnia tanager sp.
Dacnis sp.,dacnis sp.
Sporophila sp.,Sporophila seedeater sp.
Catamenia sp.,Catamenia seedeater sp.
Geospiza sp.,Geospiza galapagos-finch sp.
